gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,is_new_customer,is_loyal_customer,tenure_group,avg_monthly_charge,high_monthly_charge,total_services,has_protection,has_support,is_monthly_contract,automatic_payment,risky_payment,family_size,senior_with_family,tenure_contract_interaction,charges_per_service
Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.75,309.35,0,0,1-2yr,22.09642857142857,0,1,0,0,0,0,0,2,0,14,19.75
Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,617.35,0,0,2-4yr,21.28793103448276,0,1,0,0,0,0,0,0,0,29,20.35
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,68.95,1,0,0-1yr,68.95,0,1,0,0,1,0,1,1,0,0,68.95
Male,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,89.65,2623.65,0,0,2-4yr,90.47068965517242,1,4,1,1,1,0,0,0,0,0,22.4125
Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.75,201.1,1,0,0-1yr,50.275,0,2,0,0,1,1,0,0,0,0,25.875
Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,0,1,4+yr,116.10857142857144,1,8,1,1,0,1,0,0,0,70,14.44375
Female,0,Yes,Yes,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),55.9,365.35,1,0,0-1yr,60.89166666666667,0,3,1,0,1,1,0,2,0,0,18.633333333333333
Male,1,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4,1,0,0-1yr,105.6,1,4,0,1,1,0,1,0,0,0,23.6875
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,856.5,0,0,2-4yr,18.619565217391305,0,1,0,0,0,1,0,2,0,92,19.75
Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.4,348.15,1,0,0-1yr,38.68333333333333,0,1,0,0,1,0,0,0,0,0,44.4
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.35,71.35,1,0,0-1yr,71.35,1,1,0,0,1,0,0,0,0,0,71.35
Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3143.65,0,0,2-4yr,101.40806451612903,1,5,1,1,1,0,1,0,0,0,20.28
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,1,0,0-1yr,75.35,1,2,0,0,1,0,1,0,0,0,37.675
Male,0,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),73.85,3371.0,0,0,2-4yr,74.91111111111111,1,6,1,1,0,1,0,2,0,90,12.308333333333332
Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.05,733.95,1,0,0-1yr,66.72272727272728,0,4,1,1,1,1,0,0,0,0,16.0125
Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.85,7002.95,0,1,4+yr,111.15793650793651,1,7,1,1,1,1,0,0,0,0,15.692857142857141
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.6,86.35,1,0,0-1yr,28.78333333333333,0,2,0,0,1,0,0,0,0,0,12.3
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024.0,0,0,1-2yr,64.0,0,4,1,1,0,0,0,2,0,32,16.0625
Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,382.2,0,0,1-2yr,20.11578947368421,0,1,0,0,1,0,0,2,0,0,20.2
Male,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.1,5564.85,0,1,4+yr,78.3781690140845,1,6,1,1,0,1,0,1,0,142,13.183333333333332
Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,86.75,1410.25,0,0,1-2yr,82.95588235294117,1,4,0,1,0,0,1,0,0,17,21.6875
Male,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.8,2230.85,0,1,4+yr,44.617,0,1,0,0,0,1,0,2,0,50,44.8
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.3,157.75,1,0,0-1yr,78.875,1,1,0,0,1,1,0,0,0,0,71.3
Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,675.6,0,0,2-4yr,19.870588235294118,0,1,0,0,1,0,0,0,0,0,19.7
Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.1,2386.85,0,0,2-4yr,56.8297619047619,0,3,1,0,0,1,0,1,0,42,18.7
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,0,1,4+yr,84.76231884057971,1,4,1,1,0,1,0,2,0,69,21.1125
Female,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.2,403.35,1,0,0-1yr,44.81666666666667,0,1,0,0,1,1,0,0,0,0,44.2
Male,0,No,No,4,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,30.5,118.4,1,0,0-1yr,29.6,0,1,0,1,1,0,1,0,0,0,30.5
Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,0,1,4+yr,112.02777777777777,1,8,1,1,0,0,0,1,0,54,14.33125
Female,0,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,0,0,2-4yr,59.17575757575757,0,4,1,1,0,0,1,0,0,33,14.85
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.05,966.55,1,0,0-1yr,80.54583333333333,1,3,0,0,1,0,1,1,0,0,28.016666666666666
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,85.45,6300.85,0,1,4+yr,88.7443661971831,1,7,1,1,0,0,1,2,0,71,12.207142857142857
Male,0,No,No,3,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.75,96.85,1,0,0-1yr,32.28333333333333,0,1,0,1,1,0,1,0,0,0,29.75
Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.15,525.0,1,0,0-1yr,75.0,1,2,0,1,1,0,1,0,0,0,37.575
Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.05,741.5,0,0,2-4yr,19.513157894736842,0,1,0,0,0,0,0,0,0,76,20.05
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.9,357.7,0,0,1-2yr,18.826315789473682,0,1,0,0,0,0,0,2,0,19,19.9
Female,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.8,5917.55,0,1,4+yr,84.53642857142857,1,7,1,1,0,1,0,1,0,140,12.114285714285714
Male,0,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,0,1,4+yr,30.025,0,1,1,0,1,0,1,1,0,0,30.4
Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.2,3512.15,0,1,4+yr,62.71696428571429,0,4,1,0,0,1,0,2,0,56,16.3
Female,0,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,59.6,3739.8,0,1,4+yr,57.535384615384615,0,4,1,1,0,0,0,0,0,130,14.9
Male,0,No,Yes,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.15,3030.6,0,0,2-4yr,86.58857142857143,1,3,0,1,0,0,1,1,0,35,28.383333333333336
Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,0,1,4+yr,79.82619047619048,1,3,1,0,1,1,0,1,0,0,27.183333333333334
Female,1,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,727.8,0,0,2-4yr,19.67027027027027,0,1,0,0,0,0,0,1,1,37,19.6
Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,368.1,1,0,0-1yr,92.025,1,4,1,0,1,0,1,0,0,0,22.5125
Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,1,0,0-1yr,97.325,1,5,1,0,1,0,1,0,0,0,19.740000000000002
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,70.15,1,0,0-1yr,70.15,1,1,0,0,1,0,1,0,0,0,70.15
Female,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.8,1378.75,0,1,4+yr,19.696428571428573,0,1,0,0,0,1,0,2,0,140,19.8
Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.0,1993.8,0,0,1-2yr,90.62727272727273,1,4,0,1,1,0,1,0,0,0,22.5
Female,0,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,1,0,0-1yr,81.57857142857142,1,6,1,1,1,0,1,0,0,0,13.083333333333334
Male,0,Yes,No,31,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.05,1882.8,0,0,2-4yr,60.73548387096774,0,3,0,0,1,1,0,1,0,0,19.683333333333334
Female,0,Yes,Yes,69,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),54.95,3772.5,0,1,4+yr,54.67391304347826,0,4,1,1,0,1,0,2,0,138,13.7375
Female,1,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,3121.1,0,0,2-4yr,104.03666666666666,1,6,1,1,1,0,1,0,0,0,17.349999999999998
Male,1,No,No,53,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.45,2854.55,0,1,4+yr,53.859433962264156,0,4,1,1,1,0,1,0,0,0,13.6125
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.55,71.55,1,0,0-1yr,71.55,1,1,0,0,1,0,0,0,0,0,71.55
Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.1,6310.9,0,1,4+yr,88.88591549295774,1,8,1,1,0,0,1,1,0,142,11.2625
Male,1,No,No,37,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,36.65,1315.0,0,0,2-4yr,35.54054054054054,0,2,1,1,1,0,1,0,0,0,18.325
Male,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,110.55,7610.1,0,1,4+yr,110.2913043478261,1,7,1,1,0,0,0,1,1,69,15.792857142857143
Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.75,1321.3,0,0,1-2yr,82.58125,1,3,1,0,1,1,0,1,0,0,26.916666666666668
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.95,19.95,1,0,0-1yr,19.95,0,1,0,0,1,0,1,0,0,0,19.95
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),61.4,4059.85,0,1,4+yr,58.83840579710145,0,4,1,1,0,1,0,2,0,138,15.35
Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,0,0,1-2yr,110.33809523809524,1,7,1,1,1,0,1,1,0,0,15.885714285714286
Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.45,6300.15,0,1,4+yr,103.2811475409836,1,6,1,1,1,0,1,0,0,0,17.741666666666667
Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,4026.4,0,0,2-4yr,105.9578947368421,1,6,0,1,1,0,1,1,0,0,17.5
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.1,19.1,1,0,0-1yr,19.1,0,1,0,0,1,0,0,0,0,0,19.1
Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,0,0,1-2yr,71.42391304347827,1,5,0,1,1,1,0,1,0,0,14.73
Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.4,206.6,1,0,0-1yr,51.65,0,2,0,0,1,0,0,0,0,0,25.2
Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,54.85,355.1,1,0,0-1yr,59.18333333333334,0,2,0,0,1,0,1,2,0,0,27.425
Female,0,No,Yes,19,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,75.9,1375.6,0,0,1-2yr,72.39999999999999,1,6,1,1,1,0,0,1,0,0,12.65
Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,69.25,4447.75,0,1,4+yr,69.49609375,0,5,1,1,0,0,0,2,0,128,13.85
Male,0,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.75,1446.8,0,1,4+yr,23.335483870967742,0,2,0,0,0,1,0,1,0,62,11.875
Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.7,81.7,1,0,0-1yr,81.7,1,3,1,0,1,0,1,0,0,0,27.233333333333334
Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1,0,0-1yr,30.5,0,1,1,0,1,1,0,2,0,0,30.5
Male,0,No,No,8,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.35,216.45,1,0,0-1yr,27.05625,0,1,1,0,1,0,0,0,0,0,29.35
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.65,8124.2,0,1,4+yr,112.83611111111111,1,8,1,1,0,1,0,1,0,144,14.20625
Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,60.9,688.5,1,0,0-1yr,62.59090909090909,0,4,1,1,1,0,1,0,0,0,15.225
Female,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,486.05,0,0,2-4yr,19.442,0,1,0,0,0,0,0,2,0,50,20.1
Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.75,2710.25,0,0,2-4yr,104.24038461538461,1,6,1,1,1,0,1,2,1,0,17.625
Female,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,74.55,1215.8,0,0,1-2yr,71.51764705882353,1,5,1,0,1,0,0,2,0,0,14.91
Female,0,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.65,472.25,1,0,0-1yr,42.93181818181818,0,1,0,0,1,0,0,0,0,0,44.65
Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,0,1,4+yr,20.954411764705885,0,1,0,0,0,1,0,0,0,136,20.5
Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,0,1,4+yr,110.5042372881356,1,7,1,1,1,0,1,0,0,0,15.907142857142857
Male,0,No,No,9,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,50.8,463.6,1,0,0-1yr,51.51111111111111,0,4,1,1,0,0,0,0,0,9,12.7
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.6,154.3,1,0,0-1yr,77.15,1,2,0,0,1,0,0,0,0,0,36.3
Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,4045.65,0,0,2-4yr,86.07765957446809,1,3,0,1,1,0,1,1,0,0,28.433333333333334
Male,1,No,No,33,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.6,1803.7,0,0,2-4yr,54.657575757575756,0,4,0,1,1,0,1,0,0,0,13.65
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,862.4,0,0,2-4yr,18.747826086956522,0,1,0,0,0,1,0,2,0,92,19.95
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7245.9,0,1,4+yr,111.47538461538461,1,7,1,1,0,1,0,2,0,130,15.828571428571427
Female,0,Yes,Yes,48,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,0,0,2-4yr,29.646874999999998,0,1,0,1,1,1,0,2,0,0,29.5
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,0,0-1yr,42.25,0,1,0,0,1,1,0,0,0,0,46.0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,74.6,1,0,0-1yr,74.6,1,2,0,1,1,0,0,0,0,0,37.3
Male,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.85,49.85,1,0,0-1yr,49.85,0,2,0,1,1,0,1,1,0,0,24.925
Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.7,2193.0,0,0,2-4yr,84.34615384615384,1,3,0,1,1,0,1,0,0,0,26.900000000000002
Female,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.4,321.4,0,0,1-2yr,20.0875,0,1,0,0,1,0,1,2,0,0,20.4
Female,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),106.65,5174.35,0,1,4+yr,105.59897959183674,1,7,1,1,0,1,0,1,0,98,15.235714285714286
Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,707.5,0,0,2-4yr,22.109375,0,1,0,0,0,1,0,0,0,32,20.35
Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.8,572.2,0,0,2-4yr,19.731034482758623,0,1,0,0,0,0,0,0,0,29,19.8
Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,38.45,1,0,0-1yr,19.225,0,0,0,0,1,0,0,0,0,0,24.3
Female,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.85,6470.1,0,1,4+yr,92.43,1,4,1,0,1,0,1,1,1,0,22.7125
Male,1,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),93.65,4839.15,0,1,4+yr,94.88529411764705,1,5,1,1,0,1,0,1,1,51,18.73
Male,1,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),60.0,3316.1,0,1,4+yr,60.29272727272727,0,4,1,0,0,1,0,1,1,55,15.0
Male,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,502.6,1,0,0-1yr,100.52000000000001,1,4,1,0,1,0,1,0,0,0,22.45
Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.95,1718.35,0,1,4+yr,24.903623188405795,0,2,0,0,0,1,0,1,0,138,12.475
Male,0,Yes,No,14,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.2,668.85,0,0,1-2yr,47.775,0,2,0,1,1,1,0,1,0,0,25.1
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.35,7323.15,0,1,4+yr,101.71041666666666,1,6,1,1,0,0,1,1,0,72,16.891666666666666
Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.4,4310.35,0,1,4+yr,60.70915492957747,0,5,1,1,0,1,0,1,0,142,12.28
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.45,775.6,0,0,2-4yr,18.917073170731708,0,1,0,0,1,0,1,0,0,0,20.45
Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,0,0,2-4yr,44.11538461538461,0,3,1,1,1,0,0,1,0,0,15.266666666666666
Female,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.9,2384.15,0,0,2-4yr,82.21206896551725,1,2,0,0,1,0,1,0,0,0,39.45
Female,1,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,76.25,4154.55,0,1,4+yr,75.53727272727274,1,6,1,1,0,0,1,2,1,55,12.708333333333334
Female,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05,2066.0,0,0,2-4yr,52.97435897435897,0,2,1,0,1,1,0,2,0,0,25.525
Male,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.35,1852.85,0,0,1-2yr,88.23095238095237,1,3,1,0,1,0,1,0,0,0,27.45
Female,0,Yes,No,48,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,34.7,1604.5,0,0,2-4yr,33.427083333333336,0,2,1,1,0,0,0,1,0,48,17.35
Female,0,Yes,Yes,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.7,4122.65,0,1,4+yr,58.06549295774647,0,5,1,1,0,1,0,2,0,142,11.940000000000001
Female,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.95,1161.75,0,0,1-2yr,89.36538461538461,1,8,1,1,0,1,0,1,0,26,11.11875
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,84.5,1,0,0-1yr,21.125,0,1,0,0,1,0,0,0,0,0,20.15
Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.95,7795.95,0,1,4+yr,111.37071428571429,1,8,1,1,0,1,0,0,0,140,13.99375
Female,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),73.9,3160.55,0,0,2-4yr,75.25119047619049,1,6,1,1,0,1,0,0,0,42,12.316666666666668
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.7,39.85,1,0,0-1yr,19.925,0,1,0,0,1,1,0,0,0,0,20.7
Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.4,261.3,0,0,1-2yr,20.1,0,1,0,0,0,0,0,0,0,26,20.4
Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.5,285.2,1,0,0-1yr,47.53333333333333,0,1,0,0,1,0,0,2,0,0,45.5
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,1,0,0-1yr,71.1,1,1,0,0,1,0,0,0,0,0,71.1
Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,573.05,0,0,2-4yr,19.760344827586206,0,1,0,0,1,0,0,1,0,0,19.85
Male,0,No,No,59,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,51.7,3005.8,0,1,4+yr,50.94576271186441,0,3,0,1,1,0,1,0,0,0,17.233333333333334
Female,0,No,Yes,65,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,45.25,2933.95,0,1,4+yr,45.137692307692305,0,3,1,1,0,0,0,1,0,130,15.083333333333334
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,0,1,4+yr,93.91619718309859,1,8,1,1,0,0,1,2,0,142,11.3
